Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Georgia;GDP per capita (current US$);199605712927664;263535388202963;332473587905411;282266743023352;323329594347421;402174330617286;442181824228013;462372955388974;473920356526134;401418594419329;406216988757379
Ghana;GDP per capita (current US$);911998675616525;107816050942235;121062225723084;107475538037586;129843695159215;1558482133003;161328683693408;237815951253814;196885826340022;176600570099776;193138947036943
Gibraltar;GDP per capita (current US$);;;;;;;;;;;
Guinea;GDP per capita (current US$);453403518454163;659992722954546;71509682041101;674085550245057;672424402562443;651135363533047;717050737885584;769003943268326;787238070219971;769256013746016;732962172595344
Gambia;GMB;665721940653672;662362460976956;780380099148097;924511516430027;833280402724096;860637873688125;762761054131159;742781137796627;700514971960668;607428404115004;660723571244322
Guinea-Bissau;GDP per capita (current US$);429622265888583;493070496879393;597576392658105;557171614773484;557632132626126;702742880436386;616411686249548;63448244599306;622481716725217;603158512942404;661007654906181
Equatorial Guinea;GDP per capita (current US$);128573360461499;159083918313632;229425834490967;166679368247067;172720097706819;216135492326324;217123950163809;203849245274473;193682309101895;112789289413309;924405179769096
Greece;GDP per capita (current US$);248011578065035;288273263555224;319972820108813;297109702950284;269177589787254;259162935289351;22242681934771;218748195041667;217609797994918;181677737169162;181164596223336
Grenada;GDP per capita (current US$);6658540846699;721250682187083;783242335227049;729069710041267;725775662232319;729105889664338;74445047675973;778977638079977;836988675513221;909687064595412;962834748662013
Greenland;GDP per capita (current US$);354581231210482;397809514445753;443670556497873;449185648770756;439883324931946;471869814680048;459367659516989;475355899453685;504849275739023;445364013080999;48181874188064
Guatemala;GDP per capita (current US$);225656506958735;248994840578017;279417683179156;263571644322601;282548396349692;318786620251971;329966560477367;345292200049589;368783695118893;392357334364713;414058982610593
Guam;GDP per capita (current US$);265556452019565;275422261673182;290563142936191;300265032092749;307004340081784;308594043533803;324945623640591;332653811866066;343940974809957;352789259389693;355628379083283
Guyana;GDP per capita (current US$);195413330777809;233120034221863;25668870846973;275681988916377;303324772490536;342543644063562;378814674878178;393486526171904;403160066245674;416612851559884;454262206666493
High income;GDP per capita (current US$);353388062230532;383388437474418;404121735465979;376250424210787;391739728516277;420873842050117;418865688175125;421435862470124;428020286504777;401961721745893;407917876671028
Hong Kong SAR;HKG;26649750801707;282242150609389;305940178410231;315156627713018;30697340383517;32549998231121;351424879344543;367308767001128;384037777145477;403152855640552;424318882817277
Honduras;GDP per capita (current US$);142013612093697;15720655038891;172782770138436;178970665110755;190434646496881;208831530028695;21443426111782;210259316626494;220605193412773;230220137936204;234258465119568
Heavily indebted poor countries (HIPC);GDP per capita (current US$);531062117503714;619431085338141;727323943007336;711082560245638;76416883826985;831047361070951;868878986636138;94145812551226;967673238600629;923923986474213;920750161632121
Croatia;GDP per capita (current US$);117033259666948;139628648704525;163094484223243;145559876468604;139236370524478;145666297259084;132381179547554;1364219778327;136001861816146;117829025486428;1236047325706
Haiti;GDP per capita (current US$);508968806625167;619812774237648;678844789796271;672036997916062;665627419493396;744217426799623;769749380959249;815820015229786;831873948899917;815728284410317;735301770321704
Hungary;GDP per capita (current US$);114758227057093;139189601910137;157534732840195;130464810081848;131135259617277;141509667263678;129182475205388;13687246101281;14246109801447;126515683423004;12992375667515
IBRD only;GDP per capita (current US$);26756978924794;329271161306089;391325808460469;375956717982906;45210533936185;528863853540915;556666455897543;582552494093739;595786721197575;557085374931412;555107118745851
IDA & IBRD total;GDP per capita (current US$);223467440817576;273029350376342;323497012167041;310020352334389;370449423431208;431021802007853;452826802537907;473673475588458;48436551981059;452694220241604;448785530721149
IDA total;GDP per capita (current US$);739638794022591;84783221875922;994554045523646;950825451801663;107513798145144;119793958738545;126685966758658;136125634728274;143464722902372;137469696936256;131730851537953
IDA blend;GDP per capita (current US$);112740777343934;127208369331236;147856476031483;134886714974578;15529183722043;17562935339152;188931544000865;200450429828583;212551704913574;197325913445891;178718031594751
Indonesia;GDP per capita (current US$);158980148866142;186000276310682;216685416700025;226124722374577;312236281521649;364304393616102;369434894603237;362391158235134;349162479085767;333169512758628;356284575641971
IDA only;GDP per capita (current US$);536514529040983;62552870086096;741334831703289;744272210696637;825713425973123;904936445480215;938653734289859;102231790113029;106969993377254;105988981004303;107386789343434
Isle of Man;GDP per capita (current US$);421068011803733;541949864112231;709944089541263;650313318703261;697665211886388;773519588821432;76104681367227;804316727965138;889742286497928;816062800333934;79155541672096
