Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Least developed countries: UN classification;Population, total;762132501;780219542;798563392;817322629;836614860;856472234;876869863;897797478;919226401;941131317;963511276
Low income;Population, total;518097437;532663586;547481280;562386040;577274011;592092182;606913332;621915808;637350644;653405207;670117389
Liechtenstein;Population, total;34970;35217;35471;35727;35994;36293;36615;36934;37223;37470;37658
Sri Lanka;Population, total;19695972;19842044;19983984;20123508;20261737;20398670;20425000;20585000;20778000;20970000;21203000
Lower middle income;Population, total;2523645459;2564440295;2605437640;2646675754;2688436551;2730385840;2772231195;2814221065;2856124025;2898058449;2939830821
Low & middle income;Population, total;5470400681;5542975651;5616213108;5690410869;5765121055;5840675761;5916770281;5993786433;6071330528;6149221337;6227752871
Lesotho;Population, total;1989939;1986922;1987129;1990131;1995581;2003787;2014990;2028519;2043437;2059021;2075001
Late-demographic dividend;Population, total;2128455973;2141610789;2154947270;2168543985;2181529363;2194530619;2207632770;2220999087;2234568586;2248128427;2262158994
Lithuania;Population, total;3269909;3231294;3198231;3162916;3097282;3028115;2987773;2957689;2932367;2904910;2868231
Luxembourg;Population, total;472637;479993;488650;497783;506953;518347;530946;543360;556319;569604;582014
Latvia;Population, total;2218357;2200325;2177322;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1959537
Macao SAR;MAC;482858;493799;504511;515239;526400;538219;550832;564039;577372;590208;602085
St. Martin (French part);Population, total;35237;36137;36885;37377;37582;37446;37009;36453;36015;35858;36065
Morocco;Population, total;30804683;31163673;31536811;31929087;32343389;32781850;33241898;33715693;34192347;34663603;35126296
Monaco;Population, total;34190;34525;34872;35226;35612;36024;36460;36901;37322;37718;38070
Moldova;Population, total;3585209;3576910;3570108;3565604;3562045;3559986;3559519;3558566;3556397;3554108;3551954
Madagascar;Population, total;18880269;19433530;19996473;20569117;21151640;21743967;22346641;22961253;23589887;24234088;24894380
Maldives;Population, total;327487;335169;343452;353398;365734;380495;397237;415593;435015;454915;475513
Middle East & North Africa;Population, total;354302463;361929136;369823252;377883993;385917886;393944527;401974219;409977874;417932242;425821770;433597626
Mexico;Population, total;107560153;109170502;110815271;112463887;114092963;115695473;117274155;118827161;120355128;121858258;123333376
Marshall Islands;Population, total;55767;56051;56174;56250;56366;56531;56717;56938;57179;57439;57735
Middle income;Population, total;4952303244;5010312065;5068731828;5128024829;5187847044;5248583579;5309856949;5371870625;5433979884;5495816130;5557635482
Macedonia;Population, total;2063131;2065426;2067313;2069039;2070741;2072487;2074278;2076067;2077775;2079328;2080745
Mali;Population, total;13203378;13651464;14113577;14581429;15049353;15514591;15979499;16449864;16934220;17438778;17965429
Malta;Population, total;405308;406724;409379;412477;414508;416268;420028;425967;434558;445053;455356
Myanmar;Population, total;49301050;49621475;49929642;50250367;50600818;50990615;51413698;51852451;52280807;52680726;53045226
Middle East & North Africa (excluding high income);Population, total;310109412;315573347;321168767;326900984;332777824;338814807;345004009;351299193;357637340;363975550;370276461
